MSA,MSA_cities,MSA_states,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_30,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_30,Annual_Administrative_Cost_30,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Households_Served_Expected_to_Use_Voucher_50,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_50,Annual_Administrative_Cost_50,Voucher_Gap_30,Voucher_Gap_50
"Kankakee, IL",Kankakee,IL,"3,285",3285,"$1,897,494 ","$22,769,928 ",822,822,"$438,948 ","$5,267,376 ","1,207",1207,"$8,310,223 ","$7,732,133 ",$534 ,"$1,030,239 ","4,975",4975,"$2,479,352 ","$29,752,224 ",822,822,"$438,948 ","$5,267,376 ","1,862",1862,"$10,868,602 ","$11,930,366 ",$534 ,"$1,589,617 ",2463,4153
"Kansas City, MO-KS",Kansas City,MO-KS,"64,435",64435,"$34,879,008 ","$418,548,096 ","17,030",17030,"$10,218,000 ","$122,616,000 ","24,452",24452,"$145,208,832 ","$176,052,608 ",$600 ,"$20,877,150 ","113,693",113693,"$53,623,844 ","$643,486,128 ","17,030",17030,"$10,218,000 ","$122,616,000 ","42,640",42640,"$226,571,280 ","$307,008,896 ",$600 ,"$36,406,564 ",47405,96663
"Knoxville, TN",Knoxville,TN,"28,135",28135,"$12,511,032 ","$150,132,384 ","6,164",6164,"$3,679,908 ","$44,158,896 ","10,955",10955,"$50,043,216 ","$78,484,576 ",$597 ,"$9,353,841 ","36,257",36257,"$15,258,921 ","$183,107,052 ","6,164",6164,"$3,679,908 ","$44,158,896 ","14,513",14513,"$62,263,772 ","$103,972,400 ",$597 ,"$12,391,495 ",21971,30093
"La Crosse-Onalaska, WI-MN",La Crosse-Onalaska,WI-MN,"4,154",4154,"$2,548,215 ","$30,578,580 ",219,219,"$107,091 ","$1,285,092 ","1,482",1482,"$10,330,106 ","$8,698,862 ",$489 ,"$1,265,708 ","7,554",7554,"$4,294,933 ","$51,539,196 ",219,219,"$107,091 ","$1,285,092 ","2,748",2748,"$18,482,510 ","$16,126,079 ",$489 ,"$2,346,389 ",3935,7335
"Lafayette-West Lafayette, IN",Lafayette-West Lafayette,IN,"9,226",9226,"$6,421,858 ","$77,062,296 ","1,462",1462,"$763,164 ","$9,157,968 ","2,994",2994,"$23,557,778 ","$18,755,884 ",$522 ,"$2,556,507 ","14,293",14293,"$8,017,297 ","$96,207,564 ","1,462",1462,"$763,164 ","$9,157,968 ","4,736",4736,"$30,007,442 ","$29,664,108 ",$522 ,"$4,043,345 ",13072,17527
"Lafayette, LA",Lafayette,LA,"16,628",16628,"$7,778,052 ","$93,336,624 ","3,556",3556,"$1,785,112 ","$21,421,344 ","6,538",6538,"$30,508,916 ","$39,386,480 ",$502 ,"$5,582,433 ","21,083",21083,"$9,078,274 ","$108,939,288 ","3,556",3556,"$1,785,112 ","$21,421,344 ","8,598",8598,"$36,296,868 ","$51,794,976 ",$502 ,"$7,341,148 ",7764,12831
"Lake Havasu City-Kingman, AZ",Lake Havasu City-Kingman,AZ,"4,532",4532,"$2,060,086 ","$24,721,032 ",547,547,"$324,371 ","$3,892,452 ","1,972",1972,"$8,388,461 ","$14,030,734 ",$593 ,"$1,683,471 ","6,978",6978,"$2,886,235 ","$34,634,820 ",547,547,"$324,371 ","$3,892,452 ","3,116",3116,"$12,676,825 ","$22,173,740 ",$593 ,"$2,660,506 ",3985,6431
"Lakeland-Winter Haven, FL",Lakeland-Winter Haven,FL,"15,347",15347,"$9,542,416 ","$114,508,992 ","2,157",2157,"$1,639,320 ","$19,671,840 ","5,670",5670,"$38,907,192 ","$51,713,600 ",$760 ,"$4,841,403 ","22,008",22008,"$12,224,755 ","$146,697,060 ","2,157",2157,"$1,639,320 ","$19,671,840 ","8,557",8557,"$51,677,504 ","$78,040,728 ",$760 ,"$7,306,135 ",13190,19851
"Lancaster, PA",Lancaster,PA,"13,109",13109,"$8,854,613 ","$106,255,356 ","1,884",1884,"$1,305,612 ","$15,667,344 ","5,005",5005,"$38,393,092 ","$41,623,800 ",$693 ,"$4,273,547 ","23,107",23107,"$13,606,319 ","$163,275,828 ","1,884",1884,"$1,305,612 ","$15,667,344 ","9,015",9015,"$61,674,264 ","$74,972,368 ",$693 ,"$7,697,470 ",11225,21223
"Lansing-East Lansing, MI",Lansing-East Lansing,MI,"17,338",17338,"$9,785,218 ","$117,422,616 ","3,798",3798,"$2,202,840 ","$26,434,080 ","6,145",6145,"$38,145,640 ","$42,767,964 ",$580 ,"$5,246,511 ","28,013",28013,"$13,611,272 ","$163,335,264 ","3,798",3798,"$2,202,840 ","$26,434,080 ","9,965",9965,"$54,644,932 ","$69,355,640 ",$580 ,"$8,508,123 ",13540,24215
"Laredo, TX",Laredo,TX,"9,863",9863,"$4,754,444 ","$57,053,328 ","1,621",1621,"$833,194 ","$9,998,328 ","3,570",3570,"$17,657,734 ","$22,018,556 ",$514 ,"$3,047,935 ","12,343",12343,"$5,505,616 ","$66,067,392 ","1,621",1621,"$833,194 ","$9,998,328 ","4,525",4525,"$20,754,294 ","$27,912,452 ",$514 ,"$3,863,802 ",8242,10722
"Las Cruces, NM",Las Cruces,NM,"10,215",10215,"$4,235,303 ","$50,823,636 ","1,637",1637,"$749,746 ","$8,996,952 ","3,627",3627,"$15,486,010 ","$19,934,366 ",$458 ,"$3,096,827 ","12,571",12571,"$5,059,432 ","$60,713,184 ","1,637",1637,"$749,746 ","$8,996,952 ","4,538",4538,"$19,421,884 ","$24,943,420 ",$458 ,"$3,874,990 ",8578,10934
"Las Vegas-Henderson-Paradise, NV",Las Vegas-Henderson-Paradise,NV,"71,317",71317,"$54,001,780 ","$648,021,360 ","11,673",11673,"$9,875,358 ","$118,504,296 ","25,478",25478,"$216,677,008 ","$258,651,760 ",$846 ,"$21,753,296 ","116,187",116187,"$75,096,504 ","$901,158,048 ","11,673",11673,"$9,875,358 ","$118,504,296 ","42,485",42485,"$309,431,712 ","$431,310,208 ",$846 ,"$36,274,328 ",59644,104514
"Lawrence, KS",Lawrence,KS,"6,599",6599,"$3,950,697 ","$47,408,364 ",831,831,"$464,529 ","$5,574,348 ","2,201",2201,"$15,431,068 ","$14,764,377 ",$559 ,"$1,879,245 ","11,277",11277,"$6,100,449 ","$73,205,388 ",831,831,"$464,529 ","$5,574,348 ","3,738",3738,"$24,960,448 ","$25,075,330 ",$559 ,"$3,191,647 ",5768,10446
"Lebanon, PA",Lebanon,PA,"3,174",3174,"$1,596,075 ","$19,152,900 ",771,771,"$374,706 ","$4,496,472 ","1,221",1221,"$6,762,312 ","$7,118,316 ",$486 ,"$1,042,128 ","5,789",5789,"$2,630,974 ","$31,571,688 ",771,771,"$374,706 ","$4,496,472 ","2,344",2344,"$11,972,506 ","$13,670,806 ",$486 ,"$2,001,418 ",2403,5018
"Lewiston-Auburn, ME",Lewiston-Auburn,ME,"3,295",3295,"$1,318,418 ","$15,821,016 ","2,109",2109,"$1,170,495 ","$14,045,940 ","1,239",1239,"$5,520,965 ","$8,254,855 ",$555 ,"$1,058,270 ","6,534",6534,"$2,205,964 ","$26,471,568 ","2,109",2109,"$1,170,495 ","$14,045,940 ","2,629",2629,"$9,762,084 ","$17,509,622 ",$555 ,"$2,244,729 ",1186,4425
"Lima, OH",Lima,OH,"3,547",3547,"$1,478,414 ","$17,740,968 ",978,978,"$428,364 ","$5,140,368 ","1,251",1251,"$5,695,396 ","$6,576,803 ",$438 ,"$1,068,368 ","6,200",6200,"$2,291,896 ","$27,502,752 ",978,978,"$428,364 ","$5,140,368 ","2,299",2299,"$9,641,308 ","$12,084,001 ",$438 ,"$1,962,983 ",2569,5222
"Lincoln, NE",Lincoln,NE,"10,978",10978,"$6,032,791 ","$72,393,492 ","3,160",3160,"$1,355,640 ","$16,267,680 ","3,909",3909,"$25,272,502 ","$20,125,494 ",$429 ,"$3,337,869 ","20,928",20928,"$10,096,961 ","$121,163,532 ","3,160",3160,"$1,355,640 ","$16,267,680 ","7,275",7275,"$42,325,476 ","$37,449,504 ",$429 ,"$6,211,104 ",7818,17768
"Little Rock-North Little Rock-Conway, AR",Little Rock-North Little Rock-Conway,AR,"24,921",24921,"$12,960,502 ","$155,526,024 ","6,965",6965,"$3,886,470 ","$46,637,640 ","9,111",9111,"$53,707,100 ","$61,005,740 ",$558 ,"$7,778,870 ","39,931",39931,"$17,898,782 ","$214,785,384 ","6,965",6965,"$3,886,470 ","$46,637,640 ","14,578",14578,"$74,520,768 ","$97,616,704 ",$558 ,"$12,447,151 ",17956,32966
"Los Angeles-Long Beach-Anaheim, CA",Los Angeles-Long Beach-Anaheim,CA,"596,074",596074,"$546,724,928 ","$6,560,699,136 ","120,365",120365,"$147,928,585 ","$1,775,143,020 ","216,395",216395,"$2,185,330,944 ","$3,191,387,136 ","$1,229 ","$184,759,840 ","982,919",982919,"$805,164,544 ","$9,661,974,528 ","120,365",120365,"$147,928,585 ","$1,775,143,020 ","344,126",344126,"$3,190,977,536 ","$5,075,165,696 ","$1,229 ","$293,817,952 ",475709,862554
"Louisville/Jefferson County, KY-IN",Louisville/Jefferson County,KY-IN,"42,336",42336,"$19,203,228 ","$230,438,736 ","14,009",14009,"$8,391,391 ","$100,696,692 ","16,104",16104,"$77,513,584 ","$115,757,728 ",$599 ,"$13,750,015 ","68,382",68382,"$27,920,888 ","$335,050,656 ","14,009",14009,"$8,391,391 ","$100,696,692 ","25,715",25715,"$114,289,112 ","$184,840,176 ",$599 ,"$21,955,816 ",28327,54373
"Lubbock, TX",Lubbock,TX,"13,108",13108,"$9,230,983 ","$110,771,796 ","1,569",1569,"$969,642 ","$11,635,704 ","4,399",4399,"$34,303,244 ","$32,623,228 ",$618 ,"$3,755,938 ","19,103",19103,"$12,087,508 ","$145,050,096 ","1,569",1569,"$969,642 ","$11,635,704 ","6,599",6599,"$46,773,024 ","$48,937,480 ",$618 ,"$5,634,211 ",11539,17534
"Lynchburg, VA",Lynchburg,VA,"7,076",7076,"$3,598,537 ","$43,182,444 ","1,377",1377,"$725,679 ","$8,708,148 ","2,811",2811,"$14,561,258 ","$17,777,972 ",$527 ,"$2,400,223 ","11,178",11178,"$4,802,918 ","$57,635,016 ","1,377",1377,"$725,679 ","$8,708,148 ","4,433",4433,"$19,857,824 ","$28,035,524 ",$527 ,"$3,785,106 ",5699,9801
"Madera, CA",Madera,CA,"5,057",5057,"$2,857,518 ","$34,290,216 ",773,773,"$471,530 ","$5,658,360 ","1,807",1807,"$11,357,553 ","$13,223,702 ",$610 ,"$1,542,422 ","7,144",7144,"$3,722,833 ","$44,673,996 ",773,773,"$471,530 ","$5,658,360 ","2,534",2534,"$14,726,169 ","$18,548,306 ",$610 ,"$2,163,488 ",4284,6371
"Manchester-Nashua, NH",Manchester-Nashua,NH,"10,679",10679,"$7,263,609 ","$87,163,308 ","4,516",4516,"$4,064,400 ","$48,772,800 ","4,131",4131,"$30,896,410 ","$44,617,732 ",$900 ,"$3,527,321 ","19,796",19796,"$11,471,230 ","$137,654,760 ","4,516",4516,"$4,064,400 ","$48,772,800 ","7,637",7637,"$50,496,024 ","$82,478,440 ",$900 ,"$6,520,455 ",6163,15280
"Mansfield, OH",Mansfield,OH,"4,014",4014,"$1,544,029 ","$18,528,348 ","1,879",1879,"$866,219 ","$10,394,628 ","1,426",1426,"$6,096,995 ","$7,886,469 ",$461 ,"$1,217,199 ","6,521",6521,"$2,259,065 ","$27,108,780 ","1,879",1879,"$866,219 ","$10,394,628 ","2,384",2384,"$9,352,323 ","$13,188,699 ",$461 ,"$2,035,546 ",2135,4642
"McAllen-Edinburg-Mission, TX",McAllen-Edinburg-Mission,TX,"28,382",28382,"$10,876,214 ","$130,514,568 ","6,482",6482,"$2,884,490 ","$34,613,880 ","10,727",10727,"$42,326,928 ","$57,282,152 ",$445 ,"$9,158,816 ","34,388",34388,"$12,540,227 ","$150,482,724 ","6,482",6482,"$2,884,490 ","$34,613,880 ","13,345",13345,"$49,369,668 ","$71,264,288 ",$445 ,"$11,394,413 ",21900,27906
"Medford, OR",Medford,OR,"7,024",7024,"$4,315,826 ","$51,789,912 ","2,334",2334,"$1,391,064 ","$16,692,768 ","2,691",2691,"$17,815,158 ","$19,242,924 ",$596 ,"$2,297,232 ","11,084",11084,"$6,155,960 ","$73,871,520 ","2,334",2334,"$1,391,064 ","$16,692,768 ","4,415",4415,"$26,841,224 ","$31,578,644 ",$596 ,"$3,769,877 ",4690,8750
"Memphis, TN-MS-AR",Memphis,TN-MS-AR,"49,464",49464,"$28,878,508 ","$346,542,096 ","9,795",9795,"$5,896,590 ","$70,759,080 ","17,620",17620,"$113,047,072 ","$127,283,832 ",$602 ,"$15,043,772 ","74,097",74097,"$38,168,176 ","$458,018,112 ","9,795",9795,"$5,896,590 ","$70,759,080 ","26,997",26997,"$153,052,960 ","$195,024,896 ",$602 ,"$23,050,140 ",39669,64302
"Merced, CA",Merced,CA,"9,904",9904,"$5,808,938 ","$69,707,256 ","2,843",2843,"$2,027,059 ","$24,324,708 ","3,400",3400,"$21,550,056 ","$29,087,116 ",$713 ,"$2,902,626 ","13,261",13261,"$7,105,959 ","$85,271,508 ","2,843",2843,"$2,027,059 ","$24,324,708 ","4,718",4718,"$27,016,576 ","$40,367,200 ",$713 ,"$4,028,275 ",7061,10418
"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Fort Lauderdale-West Palm Beach,FL,"209,660",209660,"$176,065,024 ","$2,112,780,288 ","47,272",47272,"$55,591,872 ","$667,102,464 ","86,878",86878,"$777,493,888 ","$1,226,017,408 ","$1,176 ","$74,177,008 ","364,928",364928,"$274,942,816 ","$3,299,313,792 ","47,272",47272,"$55,591,872 ","$667,102,464 ","143,446",143446,"$1,191,491,456 ","$2,024,314,496 ","$1,176 ","$122,475,896 ",162388,317656
"Michigan City-La Porte, IN",Michigan City-La Porte,IN,"2,669",2669,"$1,267,081 ","$15,204,972 ",399,399,"$206,682 ","$2,480,184 ",991,991,"$5,288,340 ","$6,159,877 ",$518 ,"$846,101 ","5,340",5340,"$2,041,329 ","$24,495,948 ",399,399,"$206,682 ","$2,480,184 ","1,992",1992,"$8,491,670 ","$12,384,346 ",$518 ,"$1,701,074 ",2270,4941
"Midland, TX",Midland,TX,"2,130",2130,"$1,955,937 ","$23,471,244 ",637,637,"$582,218 ","$6,986,616 ",950,950,"$8,512,719 ","$10,422,691 ",$914 ,"$811,360 ","3,805",3805,"$2,873,562 ","$34,482,744 ",637,637,"$582,218 ","$6,986,616 ","1,549",1549,"$12,224,097 ","$16,989,224 ",$914 ,"$1,322,536 ",1493,3168
"Milwaukee-Waukesha-West Allis, WI",Milwaukee-Waukesha-West Allis,WI,"67,757",67757,"$36,959,112 ","$443,509,344 ","11,710",11710,"$6,604,440 ","$79,253,280 ","25,516",25516,"$159,066,224 ","$172,694,624 ",$564 ,"$21,786,110 ","112,306",112306,"$54,550,244 ","$654,602,928 ","11,710",11710,"$6,604,440 ","$79,253,280 ","42,599",42599,"$240,756,640 ","$288,312,192 ",$564 ,"$36,371,724 ",56047,100596
"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis-St. Paul-Bloomington,MN-WI,"108,852",108852,"$64,160,188 ","$769,922,256 ","23,780",23780,"$21,734,920 ","$260,819,040 ","37,921",37921,"$257,143,712 ","$415,919,616 ",$914 ,"$32,377,492 ","187,701",187701,"$100,750,048 ","$1,209,000,576 ","23,780",23780,"$21,734,920 ","$260,819,040 ","63,707",63707,"$402,860,224 ","$698,743,232 ",$914 ,"$54,394,052 ",85072,163921
"Mobile, AL",Mobile,AL,"16,415",16415,"$8,850,581 ","$106,206,972 ","7,214",7214,"$4,710,742 ","$56,528,904 ","5,896",5896,"$34,296,936 ","$46,200,528 ",$653 ,"$5,034,006 ","24,273",24273,"$11,479,455 ","$137,753,460 ","7,214",7214,"$4,710,742 ","$56,528,904 ","9,125",9125,"$45,835,536 ","$71,503,352 ",$653 ,"$7,791,000 ",9201,17059
"Modesto, CA",Modesto,CA,"15,239",15239,"$10,368,702 ","$124,424,424 ","4,540",4540,"$3,100,820 ","$37,209,840 ","5,592",5592,"$42,284,668 ","$45,832,044 ",$683 ,"$4,774,507 ","24,345",24345,"$14,650,420 ","$175,805,040 ","4,540",4540,"$3,100,820 ","$37,209,840 ","9,163",9163,"$61,361,928 ","$75,100,400 ",$683 ,"$7,823,509 ",10699,19805
"Monroe, LA",Monroe,LA,"8,122",8122,"$3,666,696 ","$44,000,352 ","2,803",2803,"$1,210,896 ","$14,530,752 ","3,168",3168,"$15,368,807 ","$16,421,573 ",$432 ,"$2,704,650 ","9,344",9344,"$4,011,395 ","$48,136,740 ","2,803",2803,"$1,210,896 ","$14,530,752 ","3,659",3659,"$17,034,040 ","$18,968,296 ",$432 ,"$3,124,098 ",5319,6541
"Monroe, MI",Monroe,MI,"3,520",3520,"$1,358,161 ","$16,297,932 ",604,604,"$359,984 ","$4,319,808 ","1,405",1405,"$6,034,579 ","$10,046,429 ",$596 ,"$1,199,349 ","6,302",6302,"$2,312,155 ","$27,745,860 ",604,604,"$359,984 ","$4,319,808 ","2,535",2535,"$10,633,735 ","$18,132,378 ",$596 ,"$2,164,654 ",2916,5698
"Montgomery, AL",Montgomery,AL,"13,800",13800,"$7,211,265 ","$86,535,180 ","3,513",3513,"$2,055,105 ","$24,661,260 ","5,186",5186,"$27,245,146 ","$36,408,812 ",$585 ,"$4,428,235 ","21,569",21569,"$10,003,855 ","$120,046,260 ","3,513",3513,"$2,055,105 ","$24,661,260 ","8,224",8224,"$39,291,212 ","$57,733,544 ",$585 ,"$7,021,863 ",10287,18056
"Morgantown, WV",Morgantown,WV,"5,936",5936,"$4,246,239 ","$50,954,868 ",779,779,"$401,185 ","$4,814,220 ","2,086",2086,"$15,613,441 ","$12,889,056 ",$515 ,"$1,780,713 ","8,658",8658,"$5,197,522 ","$62,370,264 ",779,779,"$401,185 ","$4,814,220 ","3,087",3087,"$19,680,712 ","$19,078,116 ",$515 ,"$2,635,775 ",5157,7879
"Muncie, IN",Muncie,IN,"6,062",6062,"$3,170,139 ","$38,041,668 ","1,124",1124,"$531,652 ","$6,379,824 ","2,103",2103,"$12,420,062 ","$11,936,330 ",$473 ,"$1,795,518 ","8,522",8522,"$3,879,163 ","$46,549,956 ","1,124",1124,"$531,652 ","$6,379,824 ","3,017",3017,"$15,420,528 ","$17,121,814 ",$473 ,"$2,575,542 ",4938,7398
"Muskegon, MI",Muskegon,MI,"4,758",4758,"$1,987,133 ","$23,845,596 ",979,979,"$568,799 ","$6,825,588 ","1,737",1737,"$8,043,366 ","$12,107,952 ",$581 ,"$1,482,773 ","7,487",7487,"$2,784,681 ","$33,416,172 ",979,979,"$568,799 ","$6,825,588 ","2,832",2832,"$11,864,542 ","$19,744,570 ",$581 ,"$2,417,974 ",3779,6508
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach-Conway-North Myrtle Beach,SC-NC,"10,192",10192,"$5,720,278 ","$68,643,336 ","1,857",1857,"$1,266,474 ","$15,197,688 ","4,080",4080,"$23,454,710 ","$33,393,128 ",$682 ,"$3,483,796 ","15,156",15156,"$8,046,627 ","$96,559,524 ","1,857",1857,"$1,266,474 ","$15,197,688 ","6,105",6105,"$34,301,368 ","$49,962,664 ",$682 ,"$5,212,442 ",8335,13299
"Napa, CA",Napa,CA,"2,901",2901,"$2,368,708 ","$28,424,496 ","1,404",1404,"$1,402,596 ","$16,831,152 ","1,289",1289,"$10,656,029 ","$15,453,310 ",$999 ,"$1,100,617 ","5,692",5692,"$4,438,830 ","$53,265,960 ","1,404",1404,"$1,402,596 ","$16,831,152 ","2,258",2258,"$19,299,140 ","$27,072,430 ",$999 ,"$1,928,154 ",1497,4288
"Naples-Immokalee-Marco Island, FL",Naples-Immokalee-Marco Island,FL,"6,741",6741,"$6,108,285 ","$73,299,420 ",453,453,"$404,076 ","$4,848,912 ","2,591",2591,"$26,990,302 ","$27,730,648 ",$892 ,"$2,211,949 ","12,459",12459,"$9,499,154 ","$113,989,848 ",453,453,"$404,076 ","$4,848,912 ","4,808",4808,"$42,312,568 ","$51,460,432 ",$892 ,"$4,104,768 ",6288,12006
"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville-Davidson--Murfreesboro--Franklin,TN,"55,407",55407,"$32,248,746 ","$386,984,952 ","11,151",11151,"$8,006,418 ","$96,077,016 ","20,470",20470,"$128,360,704 ","$176,365,440 ",$718 ,"$17,477,086 ","94,054",94054,"$49,018,196 ","$588,218,352 ","11,151",11151,"$8,006,418 ","$96,077,016 ","34,541",34541,"$198,302,608 ","$297,604,064 ",$718 ,"$29,491,334 ",44256,82903
"New Haven-Milford, CT",New Haven-Milford,CT,"40,289",40289,"$26,812,672 ","$321,752,064 ","15,408",15408,"$15,315,552 ","$183,786,624 ","15,364",15364,"$112,064,864 ","$183,257,952 ",$994 ,"$13,117,662 ","63,934",63934,"$38,391,952 ","$460,703,424 ","15,408",15408,"$15,315,552 ","$183,786,624 ","24,238",24238,"$161,909,904 ","$289,105,888 ",$994 ,"$20,694,288 ",24881,48526
"New Orleans-Metairie, LA",New Orleans-Metairie,LA,"49,590",49590,"$32,110,768 ","$385,329,216 ","27,196",27196,"$22,763,052 ","$273,156,624 ","18,436",18436,"$124,472,608 ","$185,167,600 ",$837 ,"$15,740,536 ","74,712",74712,"$42,758,408 ","$513,100,896 ","27,196",27196,"$22,763,052 ","$273,156,624 ","28,272",28272,"$170,414,336 ","$283,961,216 ",$837 ,"$24,138,684 ",22394,47516
"New York-Newark-Jersey City, NY-NJ-PA",New York-Newark-Jersey City,NY-NJ-PA,"959,208",959208,"$770,196,032 ","$9,242,352,384 ","251,284",251284,"$279,679,092 ","$3,356,149,104 ","341,333",341333,"$2,958,054,912 ","$4,558,839,808 ","$1,113 ","$291,433,280 ","1,485,248",1485248,"$1,104,862,848 ","$13,258,354,176 ","251,284",251284,"$279,679,092 ","$3,356,149,104 ","514,343",514343,"$4,217,782,016 ","$6,869,571,072 ","$1,113 ","$439,151,584 ",707924,1233964
"Niles-Benton Harbor, MI",Niles-Benton Harbor,MI,"5,567",5567,"$2,493,469 ","$29,921,628 ",837,837,"$430,218 ","$5,162,616 ","2,057",2057,"$10,084,997 ","$12,689,536 ",$514 ,"$1,756,559 ","9,015",9015,"$3,504,027 ","$42,048,324 ",837,837,"$430,218 ","$5,162,616 ","3,384",3384,"$14,556,569 ","$20,869,542 ",$514 ,"$2,888,882 ",4730,8178
"North Port-Sarasota-Bradenton, FL",North Port-Sarasota-Bradenton,FL,"12,801",12801,"$10,628,579 ","$127,542,948 ","3,241",3241,"$2,997,925 ","$35,975,100 ","5,343",5343,"$47,808,708 ","$59,308,616 ",$925 ,"$4,562,008 ","24,621",24621,"$17,923,696 ","$215,084,352 ","3,241",3241,"$2,997,925 ","$35,975,100 ","10,231",10231,"$83,647,504 ","$113,566,272 ",$925 ,"$8,735,498 ",9560,21380
"Norwich-New London, CT",Norwich-New London,CT,"9,133",9133,"$4,964,045 ","$59,568,540 ","1,369",1369,"$1,274,539 ","$15,294,468 ","3,520",3520,"$20,348,046 ","$39,323,904 ",$931 ,"$3,005,294 ","16,093",16093,"$7,936,324 ","$95,235,888 ","1,369",1369,"$1,274,539 ","$15,294,468 ","6,114",6114,"$32,832,240 ","$68,302,224 ",$931 ,"$5,219,936 ",7764,14724
"Ocala, FL",Ocala,FL,"7,244",7244,"$4,429,928 ","$53,159,136 ","1,392",1392,"$814,320 ","$9,771,840 ","2,816",2816,"$17,397,188 ","$19,770,454 ",$585 ,"$2,404,589 ","9,304",9304,"$5,569,107 ","$66,829,284 ","1,392",1392,"$814,320 ","$9,771,840 ","3,807",3807,"$23,383,328 ","$26,728,476 ",$585 ,"$3,250,861 ",5852,7912
"Ocean City, NJ",Ocean City,NJ,"2,646",2646,"$1,794,205 ","$21,530,460 ",359,359,"$322,741 ","$3,872,892 ","1,067",1067,"$7,455,010 ","$11,511,862 ",$899 ,"$911,100 ","4,745",4745,"$3,000,329 ","$36,003,948 ",359,359,"$322,741 ","$3,872,892 ","1,945",1945,"$12,627,908 ","$20,986,006 ",$899 ,"$1,660,925 ",2287,4386
"Odessa, TX",Odessa,TX,"3,063",3063,"$1,833,135 ","$21,997,620 ","1,037",1037,"$956,114 ","$11,473,368 ","1,132",1132,"$6,895,877 ","$12,523,305 ",$922 ,"$966,425 ","5,347",5347,"$2,869,549 ","$34,434,588 ","1,037",1037,"$956,114 ","$11,473,368 ","1,983",1983,"$11,176,826 ","$21,943,782 ",$922 ,"$1,693,404 ",2026,4310
"Ogden-Clearfield, UT",Ogden-Clearfield,UT,"9,196",9196,"$4,728,784 ","$56,745,408 ","2,570",2570,"$1,655,080 ","$19,860,960 ","3,462",3462,"$19,678,836 ","$26,753,050 ",$644 ,"$2,955,748 ","16,713",16713,"$7,717,693 ","$92,612,316 ","2,570",2570,"$1,655,080 ","$19,860,960 ","6,014",6014,"$31,262,224 ","$46,477,460 ",$644 ,"$5,134,954 ",6626,14143
"Oklahoma City, OK",Oklahoma City,OK,"44,881",44881,"$23,082,458 ","$276,989,496 ","13,078",13078,"$7,349,836 ","$88,198,032 ","13,710",13710,"$76,969,416 ","$92,462,960 ",$562 ,"$11,706,080 ","77,017",77017,"$34,254,420 ","$411,053,040 ","13,078",13078,"$7,349,836 ","$88,198,032 ","23,785",23785,"$117,901,760 ","$160,405,344 ",$562 ,"$20,307,784 ",31803,63939
"Olympia-Tumwater, WA",Olympia-Tumwater,WA,"7,254",7254,"$5,569,805 ","$66,837,660 ","2,178",2178,"$1,768,536 ","$21,222,432 ","2,597",2597,"$22,611,504 ","$25,302,222 ",$812 ,"$2,217,087 ","13,510",13510,"$8,716,259 ","$104,595,108 ","2,178",2178,"$1,768,536 ","$21,222,432 ","4,874",4874,"$36,049,884 ","$47,487,564 ",$812 ,"$4,161,059 ",5076,11332
"Omaha-Council Bluffs, NE-IA",Omaha-Council Bluffs,NE-IA,"32,844",32844,"$17,649,512 ","$211,794,144 ","7,711",7711,"$5,143,237 ","$61,718,844 ","12,369",12369,"$75,914,512 ","$98,999,944 ",$667 ,"$10,560,612 ","57,802",57802,"$27,285,466 ","$327,425,592 ","7,711",7711,"$5,143,237 ","$61,718,844 ","21,330",21330,"$117,136,040 ","$170,726,896 ",$667 ,"$18,211,936 ",25133,50091
