MSA,MSA_cities,MSA_states,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_30,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_30,Annual_Administrative_Cost_30,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Households_Served_Expected_to_Use_Voucher_50,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_50,Annual_Administrative_Cost_50,Voucher_Gap_30,Voucher_Gap_50
"Bridgeport-Stamford-Norwalk, CT",Bridgeport-Stamford-Norwalk,CT,"33,255",33255,"$25,717,872 ","$308,614,464 ","9,172",9172,"$11,327,420 ","$135,929,040 ","9,085",9085,"$73,437,248 ","$134,641,600 ","$1,235 ","$7,756,973 ","53,650",53650,"$38,859,060 ","$466,308,720 ","9,172",9172,"$11,327,420 ","$135,929,040 ","14,030",14030,"$110,966,744 ","$207,921,024 ","$1,235 ","$11,978,748 ",24083,44478
"Brownsville-Harlingen, TX",Brownsville-Harlingen,TX,"17,136",17136,"$6,256,474 ","$75,077,688 ","4,954",4954,"$2,313,518 ","$27,762,216 ","6,280",6280,"$24,524,494 ","$35,194,400 ",$467 ,"$5,362,122 ","21,337",21337,"$7,408,074 ","$88,896,888 ","4,954",4954,"$2,313,518 ","$27,762,216 ","8,064",8064,"$29,383,338 ","$45,188,968 ",$467 ,"$6,884,867 ",12182,16383
"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo-Cheektowaga-Niagara Falls,NY,"50,084",50084,"$24,085,908 ","$289,030,896 ","14,462",14462,"$8,113,182 ","$97,358,184 ","18,695",18695,"$100,055,504 ","$125,853,200 ",$561 ,"$15,961,781 ","77,473",77473,"$34,115,888 ","$409,390,656 ","14,462",14462,"$8,113,182 ","$97,358,184 ","29,503",29503,"$146,254,048 ","$198,611,728 ",$561 ,"$25,189,644 ",35622,63011
"Burlington-South Burlington, VT",Burlington-South Burlington,VT,"8,001",8001,"$5,839,701 ","$70,076,412 ","4,172",4172,"$3,671,360 ","$44,056,320 ","3,096",3096,"$24,690,982 ","$32,693,858 ",$880 ,"$2,643,404 ","12,993",12993,"$8,084,363 ","$97,012,356 ","4,172",4172,"$3,671,360 ","$44,056,320 ","4,931",4931,"$34,200,472 ","$52,070,508 ",$880 ,"$4,210,069 ",4533,7524
"Burlington, NC",Burlington,NC,"5,571",5571,"$2,618,748 ","$31,424,976 ","1,038",1038,"$497,202 ","$5,966,424 ","1,985",1985,"$10,307,132 ","$11,411,558 ",$479 ,"$1,695,077 ","8,562",8562,"$3,578,933 ","$42,947,196 ","1,038",1038,"$497,202 ","$5,966,424 ","3,175",3175,"$14,600,911 ","$18,249,944 ",$479 ,"$2,710,853 ",3829,8821
"Canton-Massillon, OH",Canton-Massillon,OH,"12,430",12430,"$4,800,154 ","$57,601,848 ","1,687",1687,"$826,630 ","$9,919,560 ","4,780",4780,"$19,681,410 ","$28,104,346 ",$490 ,"$4,080,913 ","20,003",20003,"$6,848,080 ","$82,176,960 ","1,687",1687,"$826,630 ","$9,919,560 ","7,952",7952,"$29,824,700 ","$46,755,212 ",$490 ,"$6,789,128 ",10743,18316
"Cape Coral-Fort Myers, FL",Cape Coral-Fort Myers,FL,"13,844",13844,"$11,155,066 ","$133,860,792 ","2,640",2640,"$2,061,840 ","$24,742,080 ","5,313",5313,"$48,412,172 ","$49,792,404 ",$781 ,"$4,536,199 ","23,084",23084,"$17,038,898 ","$204,466,776 ","2,640",2640,"$2,061,840 ","$24,742,080 ","9,147",9147,"$78,042,848 ","$85,724,640 ",$781 ,"$7,809,705 ",11204,20444
"Champaign-Urbana, IL",Champaign-Urbana,IL,"13,726",13726,"$10,282,315 ","$123,387,780 ","2,237",2237,"$735,973 ","$8,831,676 ","4,962",4962,"$49,411,732 ","$19,589,582 ",$329 ,"$4,236,520 ","19,940",19940,"$12,359,197 ","$148,310,364 ","2,237",2237,"$735,973 ","$8,831,676 ","7,057",7057,"$58,357,556 ","$27,860,284 ",$329 ,"$6,025,175 ",11489,17703
"Charleston-North Charleston, SC",Charleston-North Charleston,SC,"19,644",19644,"$14,086,182 ","$169,034,184 ","5,563",5563,"$3,827,344 ","$45,928,128 ","7,474",7474,"$55,187,352 ","$61,707,428 ",$688 ,"$6,381,592 ","33,645",33645,"$21,237,618 ","$254,851,416 ","5,563",5563,"$3,827,344 ","$45,928,128 ","12,646",12646,"$85,387,424 ","$104,407,736 ",$688 ,"$10,797,525 ",2667,4980
"Charleston, WV",Charleston,WV,"6,366",6366,"$2,633,310 ","$31,599,720 ","3,699",3699,"$2,130,624 ","$25,567,488 ","2,588",2588,"$10,528,148 ","$17,887,088 ",$576 ,"$2,209,516 ","8,679",8679,"$3,340,034 ","$40,080,408 ","3,699",3699,"$2,130,624 ","$25,567,488 ","3,659",3659,"$13,743,219 ","$25,291,062 ",$576 ,"$3,124,098 ",14081,28082
