,MSA,Number.of.Vouchers.if.Only.Renters.Participate.x,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.x,Actual.Number.of.Vouchers.Available.2020.x,Estimated.Monthly.Expenditure.x,Estimated.Annual.Expenditure.x,Number.of.Vouchers.x,Number.of.Vouchers.NUMERIC.x,Annual.Cost.of.Vouchers.x,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.x,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.x,Annual.Administrative.Cost.x,AMI.x,Number.of.Vouchers.if.Only.Renters.Participate.y,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.y,Actual.Number.of.Vouchers.Available.2020.y,Estimated.Monthly.Expenditure.y,Estimated.Annual.Expenditure.y,Number.of.Vouchers.y,Number.of.Vouchers.NUMERIC.y,Annual.Cost.of.Vouchers.y,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.y,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.y,Annual.Administrative.Cost.y,AMI.y
121,"Lancaster, PA","13,109","$8,854,613 ","$106,255,356 ","1,884","$1,305,612 ","$15,667,344 ","5,005",5005,"$38,393,092 ","$41,623,800 ",$693 ,"$4,273,547 ",30,"23,107","$13,606,319 ","$163,275,828 ","1,884","$1,305,612 ","$15,667,344 ","9,015",9015,"$61,674,264 ","$74,972,368 ",$693 ,"$7,697,470 ",50
122,"Lansing-East Lansing, MI","17,338","$9,785,218 ","$117,422,616 ","3,798","$2,202,840 ","$26,434,080 ","6,145",6145,"$38,145,640 ","$42,767,964 ",$580 ,"$5,246,511 ",30,"28,013","$13,611,272 ","$163,335,264 ","3,798","$2,202,840 ","$26,434,080 ","9,965",9965,"$54,644,932 ","$69,355,640 ",$580 ,"$8,508,123 ",50
123,"Laredo, TX","9,863","$4,754,444 ","$57,053,328 ","1,621","$833,194 ","$9,998,328 ","3,570",3570,"$17,657,734 ","$22,018,556 ",$514 ,"$3,047,935 ",30,"12,343","$5,505,616 ","$66,067,392 ","1,621","$833,194 ","$9,998,328 ","4,525",4525,"$20,754,294 ","$27,912,452 ",$514 ,"$3,863,802 ",50
124,"Las Cruces, NM","10,215","$4,235,303 ","$50,823,636 ","1,637","$749,746 ","$8,996,952 ","3,627",3627,"$15,486,010 ","$19,934,366 ",$458 ,"$3,096,827 ",30,"12,571","$5,059,432 ","$60,713,184 ","1,637","$749,746 ","$8,996,952 ","4,538",4538,"$19,421,884 ","$24,943,420 ",$458 ,"$3,874,990 ",50
125,"Las Vegas-Henderson-Paradise, NV","71,317","$54,001,780 ","$648,021,360 ","11,673","$9,875,358 ","$118,504,296 ","25,478",25478,"$216,677,008 ","$258,651,760 ",$846 ,"$21,753,296 ",30,"116,187","$75,096,504 ","$901,158,048 ","11,673","$9,875,358 ","$118,504,296 ","42,485",42485,"$309,431,712 ","$431,310,208 ",$846 ,"$36,274,328 ",50
126,"Lawrence, KS","6,599","$3,950,697 ","$47,408,364 ",831,"$464,529 ","$5,574,348 ","2,201",2201,"$15,431,068 ","$14,764,377 ",$559 ,"$1,879,245 ",30,"11,277","$6,100,449 ","$73,205,388 ",831,"$464,529 ","$5,574,348 ","3,738",3738,"$24,960,448 ","$25,075,330 ",$559 ,"$3,191,647 ",50
127,"Lebanon, PA","3,174","$1,596,075 ","$19,152,900 ",771,"$374,706 ","$4,496,472 ","1,221",1221,"$6,762,312 ","$7,118,316 ",$486 ,"$1,042,128 ",30,"5,789","$2,630,974 ","$31,571,688 ",771,"$374,706 ","$4,496,472 ","2,344",2344,"$11,972,506 ","$13,670,806 ",$486 ,"$2,001,418 ",50
128,"Lewiston-Auburn, ME","3,295","$1,318,418 ","$15,821,016 ","2,109","$1,170,495 ","$14,045,940 ","1,239",1239,"$5,520,965 ","$8,254,855 ",$555 ,"$1,058,270 ",30,"6,534","$2,205,964 ","$26,471,568 ","2,109","$1,170,495 ","$14,045,940 ","2,629",2629,"$9,762,084 ","$17,509,622 ",$555 ,"$2,244,729 ",50
129,"Lima, OH","3,547","$1,478,414 ","$17,740,968 ",978,"$428,364 ","$5,140,368 ","1,251",1251,"$5,695,396 ","$6,576,803 ",$438 ,"$1,068,368 ",30,"6,200","$2,291,896 ","$27,502,752 ",978,"$428,364 ","$5,140,368 ","2,299",2299,"$9,641,308 ","$12,084,001 ",$438 ,"$1,962,983 ",50
130,"Lincoln, NE","10,978","$6,032,791 ","$72,393,492 ","3,160","$1,355,640 ","$16,267,680 ","3,909",3909,"$25,272,502 ","$20,125,494 ",$429 ,"$3,337,869 ",30,"20,928","$10,096,961 ","$121,163,532 ","3,160","$1,355,640 ","$16,267,680 ","7,275",7275,"$42,325,476 ","$37,449,504 ",$429 ,"$6,211,104 ",50
