State,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Households_Served_Expected_to_Use_Voucher_30,Percent_of_Vouchers_30,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Average_Monthly_Expenditure_per_Household_30,Annual_Administrative_Cost_30,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Annual_Cost_of_Vouchers_30,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Households_Served_Expected_to_Use_Voucher_50,Percent_of_Vouchers_50,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Average_Monthly_Expenditure_per_Household_50,Annual_Administrative_Cost_50,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Annual_Cost_of_Vouchers_50,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Voucher_Gap_30,Actual_HUD_Avg_Monthly_Expenditure_per_HH_by_State,Actual_Estimated_Annual_Expenditure,Voucher_Gap_50
Maryland,63521,"63,521",1.60%,"$536,832,352 ","$831,613,184 ","$1,091 ","$54,234,620 ","181,290",181290,"$2,768,792,064 ","$139,983,104 ","$1,679,797,248 ","56,694",56694,"$61,853,154 ","$742,237,848 ",105242,"105,242",1.60%,"$804,438,080 ","$1,377,834,240 ","$1,091 ","$89,857,056 ","307,328",307328,"$4,599,612,672 ","$209,973,104 ","$2,519,677,248 ","56,694",56694,"$61,853,154 ","$742,237,848 ",124596,"$1,091 ","$742,237,848 ",250634
Massachusetts,100856,"100,856",2.60%,"$728,898,752 ","$1,236,895,360 ","$1,022 ","$86,111,680 ","294,948",294948,"$3,691,497,600 ","$204,994,464 ","$2,459,933,568 ","95,439",95439,"$97,538,658 ","$1,170,463,896 ",151716,"151,716",2.40%,"$1,051,785,088 ","$1,860,648,576 ","$1,022 ","$129,536,888 ","451,979",451979,"$5,923,799,808 ","$294,724,768 ","$3,536,697,216 ","95,439",95439,"$97,538,658 ","$1,170,463,896 ",199509,"$1,022 ","$1,170,463,896 ",356540
Michigan,137817,"137,817",3.50%,"$803,528,640 ","$984,016,000 ",$595 ,"$117,669,840 ","300,276",300276,"$3,287,117,568 ","$160,447,248 ","$1,925,366,976 ","63,273",63273,"$37,647,435 ","$451,769,220 ",224460,"224,460",3.50%,"$1,186,306,560 ","$1,602,646,656 ",$595 ,"$191,646,464 ","490,308",490308,"$5,279,685,888 ","$231,623,952 ","$2,779,487,424 ","63,273",63273,"$37,647,435 ","$451,769,220 ",237003,$595 ,"$451,769,220 ",427035
Minnesota,63480,"63,480",1.60%,"$379,768,800 ","$594,929,920 ",$781 ,"$54,199,436 ","171,713",171713,"$1,819,716,672 ","$91,136,512 ","$1,093,638,144 ","36,652",36652,"$28,625,212 ","$343,502,544 ",105146,"105,146",1.60%,"$599,353,472 ","$985,431,424 ",$781 ,"$89,774,984 ","290,365",290365,"$3,304,505,472 ","$144,301,792 ","$1,731,621,504 ","36,652",36652,"$28,625,212 ","$343,502,544 ",135061,$781 ,"$343,502,544 ",253713
Mississippi,34357,"34,357",0.90%,"$163,126,224 ","$233,349,488 ",$566 ,"$29,333,940 ","87,878",87878,"$836,549,376 ","$42,618,424 ","$511,421,088 ","27,619",27619,"$15,632,354 ","$187,588,248 ",56734,"56,734",0.90%,"$234,684,208 ","$385,340,640 ",$566 ,"$48,440,476 ","141,825",141825,"$1,305,122,400 ","$59,505,000 ","$714,060,000 ","27,619",27619,"$15,632,354 ","$187,588,248 ",60259,$566 ,"$187,588,248 ",114206
Missouri,64389,"64,389",1.60%,"$340,205,408 ","$429,600,160 ",$556 ,"$54,975,552 ","183,669",183669,"$1,756,075,584 ","$92,483,064 ","$1,109,796,768 ","46,449",46449,"$25,825,644 ","$309,907,728 ",111418,"111,418",1.70%,"$520,128,064 ","$743,381,888 ",$556 ,"$95,129,920 ","312,280",312280,"$2,844,593,280 ","$136,199,680 ","$1,634,396,160 ","46,449",46449,"$25,825,644 ","$309,907,728 ",137220,$556 ,"$309,907,728 ",265831
Montana,11157,"11,157",0.30%,"$53,924,988 ","$79,663,520 ",$595 ,"$9,526,262 ","27,227",27227,"$284,054,064 ","$12,869,574 ","$154,434,888 ","7,043",7043,"$4,190,585 ","$50,287,020 ",20639,"20,639",0.30%,"$94,632,536 ","$147,363,184 ",$595 ,"$17,621,872 ","50,597",50597,"$525,796,704 ","$21,891,582 ","$262,698,984 ","7,043",7043,"$4,190,585 ","$50,287,020 ",20184,$595 ,"$50,287,020 ",43554
Nebraska,22356,"22,356",0.60%,"$127,948,808 ","$145,403,104 ",$542 ,"$19,087,734 ","58,343",58343,"$549,656,160 ","$29,488,778 ","$353,865,336 ","13,453",13453,"$7,291,526 ","$87,498,312 ",40505,"40,505",0.60%,"$211,418,880 ","$263,447,296 ",$542 ,"$34,583,940 ","107,710",107710,"$984,801,120 ","$48,820,952 ","$585,851,424 ","13,453",13453,"$7,291,526 ","$87,498,312 ",44890,$542 ,"$87,498,312 ",94257
Nevada,33776,"33,776",0.90%,"$267,822,192 ","$323,436,896 ",$798 ,"$28,838,104 ","92,056",92056,"$1,125,092,544 ","$65,959,276 ","$791,511,312 ","16,190",16190,"$12,919,620 ","$155,035,440 ",57564,"57,564",0.90%,"$390,585,824 ","$551,230,144 ",$798 ,"$49,148,480 ","154,397",154397,"$1,719,012,480 ","$93,932,776 ","$1,127,193,312 ","16,190",16190,"$12,919,620 ","$155,035,440 ",75866,$798 ,"$155,035,440 ",138207
New Hampshire,13662,"13,662",0.40%,"$88,307,752 ","$139,184,800 ",$849 ,"$11,664,445 ","36,707",36707,"$483,814,656 ","$21,866,780 ","$262,401,360 ","10,995",10995,"$9,334,755 ","$112,017,060 ",24142,"24,142",0.40%,"$140,909,616 ","$245,957,024 ",$849 ,"$20,612,540 ","65,661",65661,"$875,490,816 ","$34,576,552 ","$414,918,624 ","10,995",10995,"$9,334,755 ","$112,017,060 ",25712,$849 ,"$112,017,060 ",54666
